Category,Message
ham,Hey how are you doing today
ham,I will call you later tonight
spam,Win a free iPhone click here now
ham,Can we meet tomorrow for lunch
spam,Congratulations you won 1 million dollars
ham,What time is the meeting
spam,Get rich quick scheme click now
ham,Thanks for your help yesterday
spam,Free money available claim now
ham,See you at the office
spam,You have won a lottery prize
ham,Happy birthday to you
spam,Discount offers available limited time
ham,How was your weekend trip
spam,Make money from home easy way
ham,Let me know when you are free
spam,Click here for amazing deals
ham,Good morning hope you slept well
spam,Urgent your account needs verification
ham,Can you send me that file